output_type,prompt_id,prompt_idx,seed,fidelity_score,above_threshold,image_path
bar_chart,bc_00,0,0,0.7,1,experiment\images\bar_chart\bc_00\seed_0000.png
bar_chart,bc_00,0,1,0.25,0,experiment\images\bar_chart\bc_00\seed_0001.png
bar_chart,bc_00,0,2,0.25,0,experiment\images\bar_chart\bc_00\seed_0002.png
bar_chart,bc_00,0,3,0.25,0,experiment\images\bar_chart\bc_00\seed_0003.png
bar_chart,bc_00,0,4,0.55,0,experiment\images\bar_chart\bc_00\seed_0004.png
bar_chart,bc_00,0,5,0.5,0,experiment\images\bar_chart\bc_00\seed_0005.png
bar_chart,bc_00,0,6,0.7,1,experiment\images\bar_chart\bc_00\seed_0006.png
bar_chart,bc_00,0,7,0.35,0,experiment\images\bar_chart\bc_00\seed_0007.png
bar_chart,bc_00,0,8,0.25,0,experiment\images\bar_chart\bc_00\seed_0008.png
bar_chart,bc_00,0,9,0.3,0,experiment\images\bar_chart\bc_00\seed_0009.png
bar_chart,bc_00,0,10,0.25,0,experiment\images\bar_chart\bc_00\seed_0010.png
bar_chart,bc_00,0,11,0.25,0,experiment\images\bar_chart\bc_00\seed_0011.png
bar_chart,bc_00,0,12,0.25,0,experiment\images\bar_chart\bc_00\seed_0012.png
bar_chart,bc_00,0,13,0.25,0,experiment\images\bar_chart\bc_00\seed_0013.png
bar_chart,bc_00,0,14,0.25,0,experiment\images\bar_chart\bc_00\seed_0014.png
bar_chart,bc_00,0,15,0.7,1,experiment\images\bar_chart\bc_00\seed_0015.png
bar_chart,bc_00,0,16,0.2,0,experiment\images\bar_chart\bc_00\seed_0016.png
bar_chart,bc_00,0,17,0.25,0,experiment\images\bar_chart\bc_00\seed_0017.png
bar_chart,bc_00,0,18,0.25,0,experiment\images\bar_chart\bc_00\seed_0018.png
bar_chart,bc_00,0,19,0.9,1,experiment\images\bar_chart\bc_00\seed_0019.png
bar_chart,bc_00,0,20,0.8,1,experiment\images\bar_chart\bc_00\seed_0020.png
bar_chart,bc_00,0,21,0.55,0,experiment\images\bar_chart\bc_00\seed_0021.png
bar_chart,bc_00,0,22,0.25,0,experiment\images\bar_chart\bc_00\seed_0022.png
bar_chart,bc_00,0,23,0.4091,0,experiment\images\bar_chart\bc_00\seed_0023.png
bar_chart,bc_00,0,24,0.25,0,experiment\images\bar_chart\bc_00\seed_0024.png
bar_chart,bc_00,0,25,0.25,0,experiment\images\bar_chart\bc_00\seed_0025.png
bar_chart,bc_00,0,26,0.25,0,experiment\images\bar_chart\bc_00\seed_0026.png
bar_chart,bc_00,0,27,0.5,0,experiment\images\bar_chart\bc_00\seed_0027.png
bar_chart,bc_00,0,28,0.35,0,experiment\images\bar_chart\bc_00\seed_0028.png
bar_chart,bc_00,0,29,0.25,0,experiment\images\bar_chart\bc_00\seed_0029.png
bar_chart,bc_00,0,30,0.25,0,experiment\images\bar_chart\bc_00\seed_0030.png
bar_chart,bc_00,0,31,0.25,0,experiment\images\bar_chart\bc_00\seed_0031.png
bar_chart,bc_00,0,32,0.25,0,experiment\images\bar_chart\bc_00\seed_0032.png
bar_chart,bc_00,0,33,0.7,1,experiment\images\bar_chart\bc_00\seed_0033.png
bar_chart,bc_00,0,34,0.7,1,experiment\images\bar_chart\bc_00\seed_0034.png
bar_chart,bc_00,0,35,0.25,0,experiment\images\bar_chart\bc_00\seed_0035.png
bar_chart,bc_00,0,36,0.25,0,experiment\images\bar_chart\bc_00\seed_0036.png
